Postcode,Plaatsnaam,Deelgemeente,Hoofdgemeente,Provincie
8501,Bissegem,Ja,KORTRIJK,WEST-VLAANDEREN
7783,Bizet,Ja,KOMEN-WAASTEN,HENEGOUWEN
2830,Blaasveld,Ja,WILLEBROEK,ANTWERPEN
5542,Blaimont,Ja,HASTIÈRE,NAMEN
7522,Blandain,Ja,TOURNAI,HENEGOUWEN
3052,Blanden,Ja,OUD-HEVERLEE,VLAAMS-BRABANT
8370,Blankenberge,Neen,BLANKENBERGE,WEST-VLAANDEREN
7040,Blaregnies,Ja,QUÉVY,HENEGOUWEN
7321,Blaton,Ja,BERNISSART,HENEGOUWEN
7370,Blaugies,Ja,DOUR,HENEGOUWEN
4670,Blégny,Neen,BLÉGNY,LUIK
7620,Bléharies,Ja,BRUNEHAUT,HENEGOUWEN
4280,Blehen,Ja,HANNUT,LUIK
6760,Bleid,Ja,VIRTON,LUXEMBURG
4300,Bleret,Ja,WAREMME,LUIK
7903,Blicquy,Ja,LEUZE-EN-HAINAUT,HENEGOUWEN
3950,Bocholt,Neen,BOCHOLT,LIMBURG
4537,Bodegnée,Ja,VERLAINE,LUIK
2530,Boechout,Neen,BOECHOUT,ANTWERPEN
3890,Boekhout,Ja,GINGELOM,LIMBURG
9961,Boekhoute,Ja,ASSENEDE,OOST-VLAANDEREN
4250,Boëlhe,Ja,GEER,LUIK
8904,Boezinge,Ja,IEPER,WEST-VLAANDEREN
1670,Bogaarden,Ja,PEPINGEN,VLAAMS-BRABANT
5550,Bohan,Ja,VRESSE-SUR-SEMOIS,NAMEN
5140,Boignée,Ja,SOMBREFFE,NAMEN
4690,Boirs,Ja,BASSENGE,LUIK
7170,Bois-D'Haine,Ja,MANAGE,HENEGOUWEN
7866,Bois-De-Lessines,Ja,LESSINES,HENEGOUWEN
5170,Bois-De-Villers,Ja,PROFONDEVILLE,NAMEN
4560,Bois-Et-Borsu,Ja,CLAVIER,LUIK
5310,Bolinne,Ja,EGHEZÉE,NAMEN
4653,Bolland,Ja,HERVE,LUIK
1367,Bomal,Ja,RAMILLIES,WAALS-BRABANT
6941,Bomal-Sur-Ourthe,Ja,DURBUY,LUXEMBURG
4607,Bombaye,Ja,DALHEM,LUIK
3840,Bommershoven,Ja,BORGLOON,LIMBURG
7603,Bon-Secours,Ja,PÉRUWELZ,HENEGOUWEN
4100,Boncelles,Ja,SERAING,LUIK
5310,Boneffe,Ja,EGHEZÉE,NAMEN
2820,Bonheiden,Neen,BONHEIDEN,ANTWERPEN
5021,Boninne,Ja,NAMUR,NAMEN
1325,Bonlez,Ja,CHAUMONT-GISTOUX,WAALS-BRABANT
6700,Bonnert,Ja,ARLON,LUXEMBURG
5300,Bonneville,Ja,ANDENNE,NAMEN
5377,Bonsin,Ja,SOMME-LEUZE,NAMEN
2221,Booischot,Ja,HEIST-OP-DEN-BERG,ANTWERPEN
8630,Booitshoeke,Ja,VEURNE,WEST-VLAANDEREN
2850,Boom,Neen,BOOM,ANTWERPEN
3631,Boorsem,Ja,MAASMECHELEN,LIMBURG
3190,Boortmeerbeek,Neen,BOORTMEERBEEK,VLAAMS-BRABANT
1761,Borchtlombeek,Ja,ROOSDAAL,VLAAMS-BRABANT
2140,Borgerhout,Ja,ANTWERPEN,ANTWERPEN
3840,Borgloon,Neen,BORGLOON,LIMBURG
4317,Borlez,Ja,FAIMES,LUIK
3891,Borlo,Ja,GINGELOM,LIMBURG
6941,Borlon,Ja,DURBUY,LUXEMBURG
2880,Bornem,Neen,BORNEM,ANTWERPEN
1404,Bornival,Ja,NIVELLES,WAALS-BRABANT
2150,Borsbeek,Neen,BORSBEEK,ANTWERPEN
9552,Borsbeke,Ja,HERZELE,OOST-VLAANDEREN
5032,Bossière,Ja,GEMBLOUX,NAMEN
8583,Bossuit,Ja,AVELGEM,WEST-VLAANDEREN
1390,Bossut-Gottechain,Ja,GREZ-DOICEAU,WAALS-BRABANT
3300,Bost,Ja,TIENEN,VLAAMS-BRABANT
5032,Bothey,Ja,GEMBLOUX,NAMEN
9820,Bottelare,Ja,MERELBEKE,OOST-VLAANDEREN
6200,Bouffioulx,Ja,CHÂTELET,HENEGOUWEN
5004,Bouge,Ja,NAMUR,NAMEN
7040,Bougnies,Ja,QUÉVY,HENEGOUWEN
6830,Bouillon,Neen,BOUILLON,LUXEMBURG
6464,Bourlers,Ja,CHIMAY,HENEGOUWEN
